day,date,time,title,text
"День 1","3 октября","10:00","Приветственное слово директора ИИР А.Г. Окунева","Открывающий блок конференции, ввод в программу дня и рамка для дискуссии про практические применения машинного обучения."
"День 1","3 октября","10:15","Приветственное слово генерального директора Т1","Короткое обращение про роль ML-направления в технологическом развитии компаний и команд."
"День 1","3 октября","10:30","Спикер №1","20-минутный слот про внедрение ML в корпоративные процессы и операционные сценарии."
"День 1","3 октября","10:50","Спикер №2","Кейс о том, как AI-ассистенты встраиваются в рабочие инструменты и внутренние сервисы."
"День 1","3 октября","11:10","Спикер №3","Доклад о качестве ответов моделей, валидации результата и построении доверия к AI-функциям."
"День 1","3 октября","11:30","Спикер №4","Практический сценарий использования LLM в поддержке, knowledge base и внутренних помощниках."
"День 1","3 октября","11:50","Спикер №5","Разбор архитектуры ML-продукта: где заканчивается демо и начинается production."
"День 1","3 октября","12:10","Спикер №6","Инструменты мониторинга AI-сервисов, контроль качества и работа с инцидентами."
"День 1","3 октября","12:30","Спикер №7","Прикладной кейс про автоматизацию аналитики, документов и повторяющихся внутренних задач."
"День 1","3 октября","13:00","Обед","Перерыв на обед, неформальное общение и обмен контактами между участниками и спикерами."
"День 1","3 октября","14:05","Спикер №8","20-минутный слот про поиск по знаниям, retrieval и объединение данных из разных контуров."
"День 1","3 октября","14:25","Спикер №9","Кейс внедрения генеративного ИИ в контентные процессы, редактуру и производство материалов."
"День 1","3 октября","14:45","Спикер №10","Практика оценки пользы AI-функции: метрики, влияние на команду и поведение пользователей."
"День 1","3 октября","15:05","Спикер №11","Слот про AI в enterprise-среде: безопасность, контуры доступа, ограничения и эксплуатация."
"День 1","3 октября","15:25","Спикер №12","Финальный 20-минутный доклад дневного блока о том, как выбирать сценарии для быстрого пилота."
"День 1","3 октября","15:45","ЧГК в стиле ML","Интерактивная игра с вопросами в ML-тематике: модели, кейсы, мемы индустрии и практические сценарии."
"День 2","4 октября","10:00","Спикер №13","Старт второго дня без приветственных слов: сразу к прикладным докладам про данные и инфраструктуру."
"День 2","4 октября","10:20","Спикер №14","Кейс о production ML и том, как поддерживать качество моделей в длинном жизненном цикле."
"День 2","4 октября","10:40","Спикер №15","Доклад про computer vision, анализ изображений и реальные ограничения внедрения на площадках."
"День 2","4 октября","11:00","Спикер №16","Сценарии применения генеративного ИИ в клиентском опыте, маркетинге и цифровых сервисах."
"День 2","4 октября","11:20","Спикер №17","Разбор качества данных, оценки выборок и того, как не испортить AI-продукт входным контуром."
"День 2","4 октября","11:40","Спикер №18","Доклад о том, как собирать AI-фичи вокруг нужд команды, а не вокруг модных технологий."
"День 2","4 октября","12:00","Спикер №19","20-минутный слот про AI для поиска знаний, работы с базами документов и внутренних регламентов."
"День 2","4 октября","12:20","Спикер №20","Кейс про автоматизацию подготовки контента, суммаризацию и генерацию материалов для команд."
"День 2","4 октября","13:00","Обед","Большой дневной перерыв с возможностью обсудить кейсы, задать вопросы спикерам и переключиться между треками."
"День 2","4 октября","14:00","Спикер №21","Послеобеденный слот про AI в аналитике, данных и построении внутренних интеллектуальных инструментов."
"День 2","4 октября","14:20","Спикер №22","Доклад о том, как организовать эксперименты с моделями и не потерять управляемость процессов."
"День 2","4 октября","14:40","Спикер №23","Кейс о разворачивании AI-сервисов в компании: вычисления, доступы, контроль и стоимость."
"День 2","4 октября","15:00","Спикер №24","Финальный 20-минутный доклад перед практической частью второго дня."
"День 2","4 октября","15:20","Воркшоп по генерации","Практический блок по генерации текста и изображений: промпты, пайплайны, ограничения и разбор живых примеров."
